,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths
17181,17127.0,7999.0,6669.0,3056.0,509.0,25416.0,1518.0,3419.0,3572.0,3017.0,616.0,1536.0,77.0,223.0,1149.0,196.0,386.0,460.0,970.0,14737.0,61.0
17185,11573.0,5578.0,4896.0,1359.0,332.0,26850.0,772.0,2294.0,2564.0,2026.0,304.0,655.0,70.0,341.0,684.0,54.0,300.0,90.0,716.0,10970.0,25.0
17187,17338.0,7693.0,6690.0,2010.0,577.0,26082.0,1388.0,3180.0,3876.0,2281.0,607.0,2883.0,281.0,260.0,309.0,253.0,331.0,1177.0,577.0,15438.0,56.0
17189,14155.0,6629.0,5975.0,1139.0,316.0,32394.0,800.0,2731.0,3059.0,1706.0,396.0,548.0,48.0,70.0,703.0,120.0,183.0,257.0,499.0,11004.0,41.0
17191,16487.0,7943.0,7075.0,2303.0,272.0,26362.0,1345.0,3434.0,3750.0,3024.0,511.0,615.0,121.0,172.0,2009.0,142.0,513.0,73.0,1243.0,13895.0,40.0
17193,14025.0,7176.0,6082.0,1786.0,507.0,25859.0,865.0,3020.0,3092.0,2741.0,542.0,488.0,58.0,135.0,961.0,80.0,493.0,388.0,754.0,12132.0,54.0
17195,56396.0,25836.0,23346.0,5862.0,1471.0,29167.0,3809.0,11233.0,12610.0,8029.0,1939.0,8609.0,533.0,1157.0,833.0,233.0,1407.0,1069.0,2718.0,50597.0,189.0
17197,688697.0,242568.0,227848.0,47519.0,18946.0,35259.0,40752.0,83650.0,177161.0,59972.0,18338.0,246449.0,20936.0,13960.0,3363.0,4048.0,8334.0,9257.0,38219.0,562135.0,1050.0
17199,67299.0,31200.0,27089.0,9754.0,1805.0,26756.0,4180.0,12186.0,14744.0,11421.0,2451.0,6805.0,428.0,850.0,2971.0,280.0,1991.0,2058.0,3754.0,66332.0,143.0
17203,38817.0,15540.0,14566.0,2737.0,803.0,35104.0,1422.0,6561.0,9569.0,3821.0,929.0,1722.0,32.0,316.0,332.0,133.0,634.0,1078.0,1430.0,29808.0,82.0
18003,370016.0,156955.0,143500.0,52158.0,10580.0,28239.0,25762.0,51307.0,96132.0,45954.0,15734.0,95345.0,7279.0,15702.0,5392.0,2155.0,9123.0,5669.0,34534.0,368295.0,712.0
18005,81893.0,34134.0,31669.0,10508.0,2042.0,30515.0,5020.0,12792.0,19684.0,9803.0,2809.0,14470.0,1379.0,2498.0,2519.0,895.0,1415.0,941.0,7400.0,86506.0,154.0
18007,8667.0,3921.0,3403.0,1381.0,180.0,23322.0,614.0,1485.0,2169.0,1555.0,343.0,635.0,34.0,57.0,155.0,61.0,97.0,121.0,890.0,7011.0,29.0
