,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,Deaths
20037,38874.0,18182.0,15603.0,11791.0,1028.0,4526.0,1619.0,4500.0,5938.0,8463.0,5861.0,1196.0,333.0,5388.0,1171.0,1052.0,376.0,1550.0,1993.0,39879.0,5781.0,810.0,2302.0,750.0,135.0,0.0,1317.0,74.0,109.0
20041,18614.0,9180.0,7933.0,3442.0,271.0,1720.0,1006.0,1653.0,3686.0,4346.0,3021.0,235.0,33.0,1780.0,399.0,368.0,91.0,389.0,342.0,15796.0,2508.0,216.0,914.0,145.0,98.0,0.0,402.0,5.0,44.0
20043,7616.0,3575.0,3003.0,1725.0,49.0,709.0,399.0,611.0,1462.0,1467.0,971.0,114.0,12.0,777.0,64.0,415.0,62.0,136.0,735.0,6617.0,1126.0,376.0,216.0,11.0,16.0,0.0,158.0,0.0,17.0
20045,121304.0,51039.0,47972.0,27837.0,3088.0,14784.0,3225.0,8753.0,14826.0,22130.0,13437.0,1994.0,811.0,27214.0,8643.0,857.0,885.0,2089.0,8241.0,121158.0,9039.0,4812.0,7762.0,6343.0,2178.0,13.0,5353.0,753.0,178.0
20047,2822.0,1622.0,1285.0,618.0,27.0,156.0,265.0,241.0,600.0,639.0,360.0,30.0,93.0,682.0,59.0,77.0,2.0,34.0,92.0,2108.0,414.0,11.0,584.0,26.0,18.0,0.0,43.0,0.0,12.0
20049,2502.0,1754.0,1150.0,753.0,60.0,198.0,219.0,283.0,721.0,549.0,557.0,31.0,0.0,275.0,0.0,179.0,15.0,76.0,19.0,1883.0,556.0,2.0,113.0,11.0,40.0,0.0,89.0,20.0,10.0
20051,28747.0,13277.0,11686.0,6172.0,565.0,3102.0,989.0,1648.0,4466.0,6192.0,3264.0,597.0,155.0,3092.0,791.0,526.0,124.0,542.0,1217.0,32221.0,2554.0,252.0,1718.0,482.0,53.0,49.0,513.0,25.0,49.0
20053,6176.0,3232.0,2390.0,896.0,48.0,404.0,373.0,437.0,1275.0,1140.0,850.0,81.0,11.0,899.0,102.0,320.0,41.0,103.0,883.0,5607.0,612.0,178.0,393.0,68.0,57.0,0.0,199.0,4.0,21.0
20055,36451.0,13608.0,12494.0,8531.0,806.0,3029.0,6015.0,4275.0,3991.0,11067.0,4098.0,902.0,4057.0,21621.0,583.0,1854.0,1016.0,702.0,614.0,36566.0,5331.0,1137.0,18275.0,1400.0,87.0,0.0,712.0,10.0,40.0
20057,33718.0,12285.0,11237.0,8503.0,818.0,2269.0,5260.0,4107.0,3662.0,10164.0,3522.0,635.0,5010.0,20366.0,506.0,1327.0,684.0,552.0,697.0,35022.0,5290.0,630.0,18621.0,424.0,53.0,26.0,581.0,31.0,61.0
20059,25643.0,11271.0,10190.0,4803.0,406.0,2617.0,1318.0,1801.0,4358.0,6129.0,4014.0,532.0,53.0,2397.0,396.0,1046.0,182.0,374.0,615.0,21056.0,4954.0,159.0,1118.0,95.0,60.0,0.0,926.0,39.0,70.0
20061,33309.0,15331.0,12866.0,8776.0,515.0,4149.0,1046.0,2136.0,2817.0,10349.0,3620.0,1700.0,565.0,14864.0,1988.0,903.0,367.0,593.0,910.0,36500.0,3391.0,5778.0,5560.0,898.0,201.0,298.0,2066.0,63.0,54.0
20063,2650.0,1422.0,1260.0,495.0,38.0,234.0,120.0,286.0,660.0,617.0,449.0,42.0,0.0,161.0,21.0,39.0,23.0,18.0,49.0,2130.0,468.0,7.0,58.0,10.0,0.0,0.0,77.0,9.0,11.0
20067,7324.0,2961.0,2561.0,1523.0,205.0,369.0,862.0,1124.0,976.0,2262.0,497.0,94.0,503.0,3672.0,0.0,511.0,155.0,53.0,66.0,6641.0,851.0,3.0,3520.0,80.0,0.0,0.0,69.0,0.0,16.0
20073,6010.0,4032.0,2695.0,1488.0,67.0,497.0,340.0,493.0,1508.0,1287.0,1167.0,175.0,7.0,502.0,5.0,389.0,54.0,154.0,79.0,3972.0,1433.0,12.0,240.0,23.0,21.0,0.0,206.0,0.0,17.0
20077,5506.0,3164.0,2367.0,1432.0,118.0,396.0,355.0,602.0,1243.0,1369.0,882.0,175.0,82.0,558.0,52.0,101.0,53.0,59.0,164.0,4975.0,1000.0,10.0,342.0,25.0,75.0,17.0,89.0,0.0,22.0
20079,34434.0,14823.0,13396.0,6534.0,623.0,2827.0,2042.0,2935.0,6545.0,8271.0,4814.0,823.0,516.0,6229.0,780.0,470.0,331.0,955.0,1417.0,32440.0,4381.0,475.0,4199.0,247.0,58.0,77.0,1171.0,2.0,85.0
20085,13249.0,5872.0,5429.0,2447.0,272.0,1292.0,440.0,990.0,2541.0,3312.0,2157.0,331.0,65.0,2199.0,156.0,376.0,93.0,224.0,151.0,9866.0,1489.0,19.0,667.0,45.0,971.0,14.0,459.0,24.0,35.0
20087,18974.0,8419.0,7619.0,2316.0,348.0,1435.0,813.0,936.0,3605.0,4333.0,2580.0,274.0,23.0,1256.0,57.0,536.0,62.0,216.0,226.0,12903.0,1746.0,129.0,550.0,3.0,136.0,0.0,428.0,10.0,43.0
20089,2854.0,2015.0,1386.0,846.0,17.0,289.0,131.0,234.0,871.0,550.0,513.0,28.0,0.0,174.0,32.0,154.0,11.0,66.0,32.0,2083.0,549.0,11.0,69.0,5.0,19.0,6.0,61.0,3.0,13.0
20091,597574.0,244796.0,233599.0,51385.0,10664.0,46959.0,15701.0,34316.0,86885.0,145364.0,51109.0,12348.0,9967.0,123520.0,28834.0,1450.0,3164.0,7178.0,4741.0,651765.0,24016.0,27388.0,46561.0,31049.0,1250.0,135.0,16157.0,980.0,846.0
20095,7173.0,3842.0,3253.0,881.0,144.0,499.0,340.0,409.0,1567.0,1601.0,969.0,138.0,2.0,504.0,40.0,369.0,37.0,101.0,132.0,5501.0,1420.0,40.0,265.0,11.0,4.0,0.0,178.0,6.0,38.0
20099,19938.0,10039.0,8270.0,5386.0,284.0,1945.0,1423.0,2117.0,3795.0,4780.0,3760.0,552.0,47.0,2967.0,398.0,569.0,179.0,497.0,533.0,19998.0,3801.0,898.0,945.0,26.0,155.0,0.0,941.0,2.0,68.0
20103,81499.0,29992.0,27645.0,9877.0,2098.0,5872.0,3893.0,4101.0,11757.0,19323.0,9384.0,1872.0,251.0,17500.0,1037.0,420.0,441.0,1125.0,5828.0,69239.0,7211.0,6577.0,5806.0,1199.0,435.0,69.0,3287.0,127.0,173.0
20105,3013.0,1848.0,1305.0,648.0,26.0,228.0,121.0,210.0,720.0,713.0,458.0,51.0,0.0,196.0,44.0,103.0,2.0,45.0,63.0,1946.0,612.0,8.0,66.0,0.0,1.0,0.0,121.0,0.0,13.0
20107,9687.0,5614.0,4509.0,2501.0,220.0,1298.0,615.0,893.0,2152.0,2169.0,1622.0,225.0,0.0,652.0,65.0,806.0,236.0,157.0,56.0,7175.0,2748.0,25.0,278.0,170.0,18.0,37.0,124.0,0.0,42.0
