,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Dem_Percent,Rep_Percent,Deaths
1107,19629.0,9462.0,7741.0,4929.0,1306.0,17310.0,2901.0,3456.0,4356.0,4675.0,973.0,8709.0,75.0,117.0,2054.0,172.0,781.0,375.0,2631.0,16531.0,0.17470734134820456,0.78997509176027,59.0
1109,33216.0,15514.0,12909.0,8513.0,1626.0,19424.0,3856.0,4419.0,6580.0,4891.0,1465.0,14221.0,330.0,671.0,3819.0,182.0,1176.0,1946.0,3749.0,50348.0,0.17470734134820456,0.78997509176027,66.0
1111,22724.0,11949.0,9016.0,5191.0,1095.0,19324.0,3965.0,4129.0,5158.0,4031.0,883.0,5629.0,39.0,188.0,3025.0,380.0,544.0,481.0,3344.0,22874.0,0.17470734134820456,0.78997509176027,101.0
1113,56980.0,25913.0,21568.0,12417.0,3127.0,19652.0,6959.0,7105.0,14381.0,10125.0,2970.0,28141.0,366.0,1141.0,4028.0,486.0,1767.0,643.0,9497.0,47380.0,0.17470734134820456,0.78997509176027,107.0
1115,85242.0,35718.0,31673.0,13363.0,3781.0,23863.0,10327.0,12044.0,19902.0,14195.0,2557.0,11464.0,519.0,714.0,9020.0,540.0,903.0,1927.0,9316.0,67533.0,0.17470734134820456,0.78997509176027,226.0
1117,201168.0,82242.0,74790.0,17115.0,6665.0,33135.0,11778.0,23846.0,50158.0,22792.0,5152.0,41935.0,3778.0,6104.0,7699.0,819.0,2125.0,2710.0,19175.0,185670.0,0.17470734134820456,0.78997509176027,306.0
1119,13433.0,6770.0,4962.0,4930.0,937.0,14042.0,1895.0,2082.0,2792.0,2801.0,594.0,10145.0,76.0,597.0,1847.0,102.0,779.0,666.0,2348.0,16811.0,0.17470734134820456,0.78997509176027,34.0
1121,81673.0,37139.0,31277.0,18253.0,5327.0,19134.0,11388.0,12284.0,18533.0,15235.0,3821.0,29381.0,452.0,630.0,8885.0,684.0,2482.0,3193.0,10749.0,77847.0,0.17470734134820456,0.78997509176027,215.0
1123,41295.0,22074.0,16437.0,8589.0,1860.0,21034.0,5696.0,7560.0,9028.0,7248.0,1703.0,12744.0,188.0,763.0,3644.0,675.0,1465.0,620.0,5394.0,40818.0,0.17470734134820456,0.78997509176027,118.0
1125,198670.0,86240.0,68103.0,34729.0,7801.0,23124.0,15570.0,22252.0,42126.0,23232.0,6712.0,71672.0,2108.0,12236.0,9165.0,1302.0,4546.0,10006.0,23427.0,235545.0,0.17470734134820456,0.78997509176027,368.0
