ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,Deaths
NH,1355244.0,638611.0,539116.0,166546.0,28479.0,143964.0,65455.0,80071.0,245142.0,257731.0,170907.0,25070.0,12144.0,141215.0,62869.0,36177.0,7899.0,26791.0,41423.0,1313449.0,104639.0,18343.0,52792.0,36398.0,1895.0,320.0,29425.0,2042.0,2814.0
NJ,8885418.0,3628732.0,3272054.0,1373150.0,271795.0,978286.0,600761.0,662917.0,1442938.0,1953453.0,915815.0,196489.0,503869.0,4026611.0,577368.0,33411.0,107201.0,367585.0,182577.0,8937160.0,796940.0,1121134.0,1815078.0,851568.0,10290.0,2122.0,184111.0,42308.0,19744.0
NM,2092483.0,940752.0,791175.0,607292.0,62525.0,211901.0,190550.0,194482.0,363909.0,482561.0,325213.0,56732.0,78118.0,1325663.0,62323.0,157512.0,27001.0,44952.0,42288.0,2069328.0,390275.0,37920.0,1029855.0,31327.0,179823.0,1392.0,39433.0,5913.0,4208.0
NV,3020821.0,1263957.0,1126826.0,653970.0,100001.0,360026.0,272862.0,333264.0,476361.0,685763.0,374173.0,79490.0,157054.0,1567311.0,184180.0,65040.0,47239.0,81776.0,35609.0,3136831.0,350637.0,271520.0,873826.0,246766.0,25682.0,19396.0,118561.0,11560.0,7261.0
NY,19514849.0,8362971.0,7417224.0,4028229.0,570570.0,2291816.0,1743890.0,1037271.0,3221702.0,4071142.0,2226768.0,471466.0,1235015.0,8748552.0,2378313.0,189677.0,375191.0,2149235.0,569176.0,20525413.0,2205471.0,2737471.0,3720707.0,1657284.0,42429.0,5537.0,467416.0,117708.0,48546.0
OH,11675275.0,5217090.0,4717226.0,2464759.0,313829.0,1151505.0,738770.0,708532.0,1990621.0,2593988.0,1612446.0,319942.0,115238.0,2533905.0,504877.0,191217.0,64401.0,365855.0,314246.0,11817564.0,1324745.0,1422412.0,459939.0,266601.0,14901.0,3367.0,335761.0,30924.0,30547.0
OK,3940885.0,1735956.0,1490149.0,969602.0,95256.0,346027.0,298237.0,555431.0,617403.0,954227.0,625252.0,105431.0,71404.0,1383866.0,128228.0,159120.0,40066.0,80434.0,109625.0,3912424.0,557718.0,281859.0,429904.0,85846.0,288539.0,5820.0,285124.0,6774.0,11736.0
OR,4171347.0,1785814.0,1640278.0,848307.0,116211.0,498943.0,260487.0,274118.0,733492.0,866162.0,591664.0,87379.0,107816.0,1047205.0,224664.0,137358.0,53347.0,118603.0,88688.0,4261292.0,359712.0,75417.0,551958.0,185192.0,35758.0,15582.0,172677.0,10621.0,7358.0
PA,12794885.0,5713345.0,5106601.0,2396384.0,351248.0,1290352.0,809967.0,705891.0,2335104.0,2649582.0,1761383.0,306961.0,246383.0,3109767.0,509749.0,217645.0,73543.0,544554.0,419905.0,12863275.0,1480789.0,1352329.0,971813.0,445725.0,12224.0,2968.0,285943.0,38765.0,32936.0
RI,1057798.0,469289.0,414730.0,186605.0,31263.0,125394.0,80258.0,44575.0,182486.0,205444.0,139927.0,28428.0,39837.0,302090.0,57146.0,4318.0,7966.0,37353.0,41441.0,1059642.0,97614.0,58680.0,168007.0,35856.0,2832.0,648.0,29197.0,6870.0,2319.0
SC,5091517.0,2319112.0,1961481.0,1199778.0,135484.0,495719.0,410334.0,518723.0,900696.0,1108605.0,725628.0,139521.0,64912.0,1861406.0,195237.0,367358.0,37506.0,118599.0,135224.0,5172274.0,739627.0,1337126.0,296897.0,82800.0,14085.0,3384.0,113574.0,13540.0,11385.0
SD,811116.0,365901.0,324359.0,156451.0,14381.0,69999.0,39731.0,70463.0,135177.0,196452.0,92510.0,18572.0,7101.0,137555.0,42424.0,29208.0,5881.0,15928.0,32497.0,830449.0,95668.0,18208.0,33769.0,12120.0,49410.0,440.0,22858.0,750.0,1682.0
TN,6772268.0,2996127.0,2639455.0,1590124.0,177361.0,659941.0,547733.0,649312.0,1107564.0,1507890.0,1031667.0,183112.0,94290.0,1802897.0,258139.0,267878.0,48510.0,146161.0,158180.0,6868798.0,965960.0,1118600.0,377162.0,121808.0,13814.0,3439.0,152592.0,15482.0,17943.0
TX,28534019.0,11059097.0,9869362.0,6655091.0,750605.0,2696115.0,2869579.0,4859139.0,3572936.0,7356452.0,3226293.0,760940.0,1847387.0,16735260.0,1716391.0,755440.0,468441.0,517166.0,590171.0,29217148.0,3508148.0,3365588.0,11248820.0,1396438.0,64819.0,21441.0,582381.0,55773.0,50092.0
UT,3132072.0,1096364.0,996886.0,512609.0,57590.0,235384.0,130792.0,277952.0,345244.0,922227.0,301299.0,52126.0,63428.0,693868.0,127448.0,32511.0,33614.0,39668.0,47390.0,3277149.0,239463.0,34973.0,444495.0,72034.0,27421.0,28787.0,79307.0,6851.0,4227.0
VA,8489608.0,3531055.0,3178538.0,1357774.0,202320.0,776152.0,560919.0,678180.0,1311973.0,1863747.0,977100.0,195577.0,204561.0,3288088.0,469765.0,173230.0,61454.0,193675.0,244432.0,8434314.0,874535.0,1588522.0,803738.0,562644.0,16856.0,4680.0,284832.0,26816.0,15666.0
VT,624340.0,337214.0,262852.0,109188.0,12845.0,76834.0,28757.0,25031.0,120872.0,115632.0,87819.0,12777.0,3618.0,47739.0,19738.0,21624.0,4150.0,17640.0,25476.0,614839.0,79150.0,7496.0,12518.0,10042.0,1538.0,192.0,14981.0,972.0,1521.0
WA,7510207.0,3149005.0,2904836.0,1234259.0,188492.0,788313.0,431326.0,458084.0,1160008.0,1653017.0,941343.0,150273.0,252606.0,2444303.0,516568.0,188587.0,98907.0,200678.0,146964.0,7628383.0,528783.0,279720.0,971491.0,656487.0,75677.0,49219.0,388346.0,23363.0,12079.0
WI,5802663.0,2704590.0,2375897.0,1037413.0,109739.0,586897.0,294968.0,312393.0,981663.0,1273655.0,675861.0,141467.0,72450.0,1125784.0,297935.0,90421.0,38509.0,156649.0,144456.0,5877286.0,635643.0,360498.0,408248.0,162010.0,43815.0,2174.0,134632.0,14407.0,12632.0
WV,1807426.0,893615.0,734235.0,481485.0,52031.0,151060.0,159031.0,109844.0,360246.0,365217.0,343339.0,37932.0,5442.0,152745.0,38213.0,130551.0,9528.0,62082.0,47206.0,1771326.0,287013.0,63133.0,28679.0,13948.0,3072.0,453.0,39146.0,4314.0,5123.0
WY,578971.0,277189.0,232331.0,100338.0,13170.0,50493.0,25046.0,65082.0,95137.0,134291.0,74638.0,11779.0,3610.0,95232.0,15403.0,35204.0,4692.0,8825.0,14025.0,577946.0,61011.0,4694.0,58705.0,4746.0,11553.0,447.0,14262.0,825.0,1170.0
