ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population"
OH,11560380.0,5135173.0,4570015.0,1790564.0,536573.0,2114302.0,869789.0,1704599.0,2673661.0,1532401.0,447683.0,2248817.0,105464.0,480234.0,201645.0,58662.0,384271.0,309939.0,1237272.0,11755658.0,27000.0,233.55633638340606
OK,3809835.0,1675424.0,1446642.0,623805.0,124647.0,1655617.0,330304.0,532340.0,939087.0,581811.0,143555.0,1228676.0,74694.0,119817.0,159817.0,38743.0,82974.0,109935.0,660244.0,3794452.0,9843.0,258.3576454098406
OR,3895270.0,1682865.0,1520652.0,638079.0,206005.0,790428.0,281288.0,580984.0,859145.0,547126.0,130899.0,872250.0,121026.0,196002.0,138818.0,45509.0,121826.0,86950.0,555485.0,3888408.0,6517.0,167.30547561529752
PA,12753790.0,5573971.0,4955522.0,1667235.0,556342.0,1692419.0,966347.0,2040451.0,2739336.0,1670811.0,418140.0,2738171.0,230737.0,463075.0,228391.0,63299.0,571001.0,429229.0,1195406.0,13053935.0,31344.0,245.76224008706433
RI,1053252.0,462930.0,409569.0,143996.0,53761.0,177243.0,104524.0,158672.0,217426.0,133024.0,40838.0,262330.0,45821.0,53061.0,4469.0,6587.0,40203.0,41970.0,109120.0,1056006.0,2341.0,222.26399759981467
SC,4727273.0,2160383.0,1795715.0,840141.0,242145.0,969940.0,473627.0,695451.0,1080028.0,657453.0,185829.0,1705454.0,66651.0,176949.0,365208.0,34124.0,126514.0,138013.0,737418.0,4725617.0,9964.0,210.77691091671667
SD,763268.0,335067.0,299496.0,101314.0,18974.0,1004694.0,45036.0,109298.0,187172.0,88933.0,27290.0,119265.0,7800.0,35629.0,28318.0,6582.0,16029.0,31840.0,82486.0,777349.0,1567.0,205.3014144442057
TN,6451365.0,2839142.0,2487349.0,1121344.0,296819.0,2004150.0,652775.0,918218.0,1492474.0,968349.0,235854.0,1612415.0,89365.0,219471.0,272267.0,49310.0,159034.0,154197.0,864874.0,6442168.0,15223.0,235.9655669769111
TX,25984201.0,10133470.0,8974905.0,4484011.0,979833.0,4881069.0,3007850.0,2830720.0,6963010.0,2953609.0,973581.0,14481748.0,1913557.0,1461539.0,752542.0,442983.0,527873.0,585327.0,5587545.0,25675155.0,41269.0,158.82343274669094
UT,2838830.0,986501.0,889802.0,355864.0,95114.0,530472.0,146567.0,268530.0,883266.0,256328.0,69265.0,576227.0,67784.0,103016.0,35122.0,32287.0,41024.0,45539.0,400467.0,2832464.0,3409.0,120.0846827742415
VA,8158660.0,3391686.0,3032311.0,911432.0,292600.0,3470786.0,663244.0,1057828.0,1855988.0,877277.0,264846.0,2948155.0,198335.0,433048.0,179380.0,60529.0,193494.0,241179.0,963272.0,7349937.0,13847.0,169.72149838331293
VT,620127.0,319310.0,254500.0,71000.0,21327.0,372719.0,35543.0,97163.0,123846.0,82346.0,20974.0,38230.0,3177.0,17235.0,21977.0,3904.0,17015.0,25316.0,40560.0,615160.0,1302.0,209.95699268053156
WA,6896883.0,2920149.0,2644490.0,916090.0,308849.0,969825.0,456254.0,907980.0,1589738.0,843818.0,222505.0,1977005.0,252403.0,425057.0,205294.0,77856.0,184449.0,140546.0,878009.0,6720820.0,10708.0,155.25854215592756
WI,5720310.0,2633290.0,2292012.0,737294.0,221387.0,1843498.0,355962.0,823362.0,1315338.0,646076.0,204358.0,987134.0,83444.0,267085.0,95608.0,39225.0,163372.0,149326.0,488491.0,5968916.0,11223.0,196.195660724681
WV,1853881.0,883197.0,742359.0,326225.0,67035.0,1173697.0,202171.0,311625.0,383727.0,352300.0,59233.0,135010.0,6002.0,36863.0,135413.0,9423.0,64384.0,49507.0,240355.0,1938621.0,4692.0,253.090678420028
WY,572759.0,263880.0,224499.0,64883.0,15914.0,637876.0,29217.0,74755.0,136436.0,67405.0,18358.0,87136.0,4639.0,14979.0,35445.0,4807.0,8559.0,13872.0,80158.0,602312.0,1026.0,179.13293374700353
