,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population",C-E_TOTPOP,C-E_HU,C-E_HH,C-E_POV,C-E_UNEMP,C-E_NOHSDP,C-E_AGE65,C-E_AGE17,C-E_DISABL,C-E_SNGPNT,C-E_MINRTY,C-E_LIMENG,C-E_MUNIT,C-E_MOBILE,C-E_CROWD,C-E_NOVEH,C-E_GROUPQ,C-E_UNINSUR,C-E_DAYPOP,C-Deaths,"C-Deaths per 100,000 Population",Risk Category
20131_2018,10104.0,4606.0,4020.0,978.0,101.0,436.0,1983.0,2662.0,1309.0,216.0,473.0,17.0,205.0,168.0,40.0,157.0,318.0,536.0,10042.0,29.0,287.01504354711005,-73.0,33.0,-121.0,-100.0,5.0,-139.0,-59.0,20.0,8.0,-25.0,42.0,9.0,7.0,-33.0,-4.0,-30.0,1.0,-17.0,-419.0,5.0,51.189161656572566,1
20131_2020,10109.0,4622.0,4069.0,1493.0,102.0,452.0,2003.0,2684.0,1305.0,134.0,535.0,17.0,290.0,149.0,16.0,185.0,317.0,483.0,9788.0,22.0,217.6278563656148,5.0,16.0,49.0,515.0,1.0,16.0,20.0,22.0,-4.0,-82.0,62.0,0.0,85.0,-19.0,-24.0,28.0,-1.0,-53.0,-254.0,-7.0,-69.38718718149525,1
20133_2016,16358.0,7685.0,6407.0,3113.0,278.0,931.0,2970.0,4112.0,2759.0,657.0,1526.0,123.0,179.0,573.0,154.0,427.0,449.0,1626.0,17434.0,61.0,372.9062232546766,-95.0,68.0,-96.0,472.0,-187.0,50.0,33.0,47.0,-23.0,23.0,31.0,-10.0,32.0,-27.0,13.0,-18.0,-63.0,-217.0,-318.0,14.0,87.24403398828144,1
20133_2018,16125.0,7746.0,6681.0,2719.0,287.0,910.0,3058.0,4007.0,2907.0,715.0,1546.0,97.0,297.0,568.0,136.0,488.0,439.0,1834.0,15730.0,51.0,316.27906976744185,-233.0,61.0,274.0,-394.0,9.0,-21.0,88.0,-105.0,148.0,58.0,20.0,-26.0,118.0,-5.0,-18.0,61.0,-10.0,208.0,-1704.0,-10.0,-56.62715348723475,1
20133_2020,16008.0,7749.0,6462.0,4071.0,262.0,864.0,3211.0,3933.0,3088.0,449.0,1728.0,48.0,262.0,567.0,162.0,342.0,452.0,1734.0,15772.0,52.0,324.8375812093953,-117.0,3.0,-219.0,1352.0,-25.0,-46.0,153.0,-74.0,181.0,-266.0,182.0,-49.0,-35.0,-1.0,26.0,-146.0,13.0,-100.0,42.0,1.0,8.558511441953442,1
20137_2016,5558.0,2537.0,2019.0,419.0,46.0,544.0,1081.0,1038.0,730.0,206.0,571.0,78.0,176.0,149.0,55.0,86.0,822.0,271.0,5235.0,21.0,377.8337531486146,-70.0,10.0,-193.0,-14.0,4.0,-27.0,0.0,-35.0,3.0,31.0,-61.0,5.0,-38.0,27.0,-33.0,-11.0,-32.0,-234.0,-246.0,1.0,22.46772614079657,1
20137_2018,5486.0,2540.0,1930.0,588.0,29.0,424.0,1090.0,1052.0,560.0,129.0,591.0,55.0,169.0,180.0,37.0,78.0,835.0,386.0,5040.0,13.0,236.96682464454977,-72.0,3.0,-89.0,169.0,-17.0,-120.0,9.0,14.0,-170.0,-77.0,20.0,-23.0,-7.0,31.0,-18.0,-8.0,13.0,115.0,-195.0,-8.0,-140.86692850406484,1
20137_2020,5416.0,2542.0,1865.0,739.0,74.0,400.0,1129.0,1027.0,628.0,50.0,629.0,65.0,152.0,123.0,12.0,53.0,883.0,435.0,4846.0,18.0,332.34859675036927,-70.0,2.0,-65.0,151.0,45.0,-24.0,39.0,-25.0,68.0,-79.0,38.0,10.0,-17.0,-57.0,-25.0,-25.0,48.0,49.0,-194.0,5.0,95.3817721058195,1
20139_2016,16001.0,7492.0,6444.0,1826.0,610.0,988.0,2926.0,3869.0,2628.0,421.0,978.0,27.0,261.0,817.0,115.0,325.0,198.0,1520.0,11670.0,49.0,306.2308605712143,-164.0,-18.0,-100.0,-104.0,-83.0,-52.0,59.0,-81.0,-100.0,-86.0,125.0,-1.0,41.0,44.0,21.0,3.0,-7.0,-394.0,-786.0,7.0,46.41026050935221,1
20139_2018,15882.0,7581.0,6554.0,1989.0,416.0,968.0,3031.0,3734.0,2644.0,525.0,1049.0,28.0,197.0,838.0,82.0,231.0,198.0,1574.0,11214.0,37.0,232.96814003274147,-119.0,89.0,110.0,163.0,-194.0,-20.0,105.0,-135.0,16.0,104.0,71.0,1.0,-64.0,21.0,-33.0,-94.0,0.0,54.0,-456.0,-12.0,-73.26272053847282,1
20139_2020,15855.0,7618.0,6624.0,3194.0,325.0,987.0,3131.0,3688.0,2575.0,334.0,1101.0,26.0,138.0,837.0,93.0,169.0,196.0,1423.0,10757.0,48.0,302.7436140018921,-27.0,37.0,70.0,1205.0,-91.0,19.0,100.0,-46.0,-69.0,-191.0,52.0,-2.0,-59.0,-1.0,11.0,-62.0,-2.0,-151.0,-457.0,11.0,69.77547396915065,1
20141_2016,3746.0,2183.0,1713.0,631.0,70.0,234.0,930.0,797.0,695.0,105.0,168.0,11.0,31.0,83.0,25.0,58.0,105.0,400.0,3137.0,17.0,453.8174052322477,-65.0,-13.0,-54.0,0.0,-5.0,-59.0,-24.0,11.0,95.0,-1.0,33.0,1.0,-24.0,0.0,0.0,10.0,-5.0,47.0,40.0,-4.0,-97.21906813432275,1
20141_2018,3603.0,2190.0,1691.0,468.0,46.0,193.0,875.0,762.0,637.0,113.0,198.0,0.0,7.0,50.0,5.0,67.0,107.0,329.0,2855.0,14.0,388.5650846516792,-143.0,7.0,-22.0,-163.0,-24.0,-41.0,-55.0,-35.0,-58.0,8.0,30.0,-11.0,-24.0,-33.0,-20.0,9.0,2.0,-71.0,-282.0,-3.0,-65.25232058056855,1
20141_2020,3494.0,2170.0,1687.0,813.0,35.0,137.0,867.0,733.0,512.0,114.0,210.0,0.0,4.0,78.0,17.0,70.0,107.0,228.0,2824.0,18.0,515.1688609044076,-109.0,-20.0,-4.0,345.0,-11.0,-56.0,-8.0,-29.0,-125.0,1.0,12.0,0.0,-3.0,28.0,12.0,3.0,0.0,-101.0,-31.0,4.0,126.60377625272838,1
